Frequency: 900000000 Hz, Gain: 40
Frequency: 523032704 Hz, Gain: 40
Frequency: 524032704 Hz, Gain: 40
Frequency: 525032704 Hz, Gain: 40
Frequency: 526032704 Hz, Gain: 40
Frequency: 527032704 Hz, Gain: 40
Frequency: 528032704 Hz, Gain: 40
Frequency: 529032704 Hz, Gain: 40
Frequency: 530032704 Hz, Gain: 40
Frequency: 531032704 Hz, Gain: 40
Frequency: 532032704 Hz, Gain: 40
Frequency: 533032704 Hz, Gain: 40
Frequency: 534032704 Hz, Gain: 40
Frequency: 535032704 Hz, Gain: 40
Frequency: 536032704 Hz, Gain: 40
Frequency: 537032704 Hz, Gain: 40
Frequency: 538032704 Hz, Gain: 40
Frequency: 539032704 Hz, Gain: 40
Frequency: 540032704 Hz, Gain: 40
Frequency: 541032704 Hz, Gain: 40
Frequency: 542032704 Hz, Gain: 40
Frequency: 543032704 Hz, Gain: 40
Frequency: 544032704 Hz, Gain: 40
Frequency: 545032704 Hz, Gain: 40
Frequency: 546032704 Hz, Gain: 40
Frequency: 547032704 Hz, Gain: 40
Frequency: 548032704 Hz, Gain: 40
Frequency: 549032704 Hz, Gain: 40
Frequency: 550032704 Hz, Gain: 40
Frequency: 551032704 Hz, Gain: 40
Frequency: 552032704 Hz, Gain: 40
Frequency: 553032704 Hz, Gain: 40
Frequency: 554032704 Hz, Gain: 40
Frequency: 555032704 Hz, Gain: 40
Frequency: 556032704 Hz, Gain: 40
Frequency: 557032704 Hz, Gain: 40
Frequency: 558032704 Hz, Gain: 40
Frequency: 559032704 Hz, Gain: 40
Frequency: 560032704 Hz, Gain: 40
Frequency: 561032704 Hz, Gain: 40
Frequency: 562032704 Hz, Gain: 40
Frequency: 563032704 Hz, Gain: 40
Frequency: 564032704 Hz, Gain: 40
Frequency: 565032704 Hz, Gain: 40
Frequency: 566032704 Hz, Gain: 40
Frequency: 567032704 Hz, Gain: 40
Frequency: 568032704 Hz, Gain: 40
Frequency: 569032704 Hz, Gain: 40
Frequency: 570032704 Hz, Gain: 40
Frequency: 571032704 Hz, Gain: 40
Frequency: 572032704 Hz, Gain: 40
Frequency: 573032704 Hz, Gain: 40
Frequency: 574032704 Hz, Gain: 40
Frequency: 575032704 Hz, Gain: 40
Frequency: 576032704 Hz, Gain: 40
Frequency: 577032704 Hz, Gain: 40
Frequency: 578032704 Hz, Gain: 40
Frequency: 579032704 Hz, Gain: 40
Frequency: 580032704 Hz, Gain: 40
Frequency: 581032704 Hz, Gain: 40
Frequency: 582032704 Hz, Gain: 40
Frequency: 583032704 Hz, Gain: 40
Frequency: 584032704 Hz, Gain: 40
Frequency: 585032704 Hz, Gain: 40
Frequency: 586032704 Hz, Gain: 40
Frequency: 587032704 Hz, Gain: 40
Frequency: 588032704 Hz, Gain: 40
Frequency: 589032704 Hz, Gain: 40
Frequency: 590032704 Hz, Gain: 40
Frequency: 591032704 Hz, Gain: 40
Frequency: 592032704 Hz, Gain: 40
Frequency: 593032704 Hz, Gain: 40
Frequency: 594032704 Hz, Gain: 40
Frequency: 595032704 Hz, Gain: 40
Frequency: 596032704 Hz, Gain: 40
Frequency: 597032704 Hz, Gain: 40
Frequency: 598032704 Hz, Gain: 40
Frequency: 599032704 Hz, Gain: 40
Frequency: 600032704 Hz, Gain: 40
Frequency: 601032704 Hz, Gain: 40
Frequency: 602032704 Hz, Gain: 40
Frequency: 603032704 Hz, Gain: 40
Frequency: 604032704 Hz, Gain: 40
Frequency: 605032704 Hz, Gain: 40
